0 ,0
0.152 ,0.034
0.304 ,0.067
0.450 ,0.099
0.603 ,0.132
0.752 ,0.164
0.902 ,0.196
1.053 ,0.229
1.204 ,0.262
1.350 ,0.293
1.498 ,0.325
1.648 ,0.358
1.802 ,0.391
1.950 ,0.422
2.098 ,0.455
2.248 ,0.488
2.402 ,0.519
2.554 ,0.554
2.704 ,0.586
2.853 ,0.619
3.000 ,0.650
3.152 ,0.683
3.304 ,0.716
3.448 ,0.747
3.600 ,0.780
3.757 ,0.814
3.905 ,0.846
4.058 ,0.878
4.206 ,0.910
4.349 ,0.942
4.484 ,0.970
